lang,query,url,title,error,desktop_error,author,author_error,group_author,group_author_error,message,case_date
be,Кубак Дэвіса,https://vk.com/video-202752058_456239720,Кубок Дэвиса. Путешествие в Малагу | Обзорная программа,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239117,"Кубок Дэвиса 2021 | Франция — Великобритания, групповой этап, 27.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239116,"Кубок Дэвиса 2021 | Австралия — Венгрия, групповой этап, 27.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239639,Ришар Гаске - Джейсон Кублер | Кубок Дэвиса | Франция - Австралия,Video sound unavailable.,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239120,"Кубок Дэвиса 2021 | Италия — Колумбия, групповой этап, 27.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239107,"Кубок Дэвиса 2021 | Эквадор — Испания, групповой этап, 26.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239715,Маттео Берреттини/Фабио Фоньини - Вашек Поспишил/Феликс Оже-Альяссим | Италия - Канада | Кубок Дэвиса | Полуфинал,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239701,Лоренцо Сонего - Фрэнсис Тиафо | Италия - США | Кубок Дэвиса. Четвертьфинал,Video sound unavailable.,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239687,Джо Солсбери / Нил Скупски - Александр Бублик / Александр Недовесов | Кубок Дэвиса | Великобритания - Казахстан,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239128,"Кубок Дэвиса 2021 | Испания — Россия, групповой этап, 28.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239126,"Кубок Дэвиса 2021 | Великобритания — Чехия, групповой этап, 28.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239426,"Себастьян Баес - Иржи Лехечка (Аргентина - Чехия) | Кубок Дэвиса, квалификация | Обзор матча",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239159,"Кубок Дэвиса 2021 | Россия — Хорватия, финал, 05.12.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239670,Ришар Гаске - Микаэль Геерц | Кубок Дэвиса | Франция - Бельгия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239661,Карлос Алькарас - Феликс Оже-Альяссим | Кубок Дэвиса | Испания - Канада,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239425,"Виктор Дурасович - Александр Бублик (Норвегия - Казахстан) | Кубок Дэвиса, квалификация | Обзор матча",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-179985743_456245145,Кубок Дэвиса в Окко / Дарья Касаткина о фаворитах / Что будет с Ириной Зелененко,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkosport,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239127,"Кубок Дэвиса 2021 | США — Колумбия, групповой этап, 28.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239666,Томми Пол - Таллон Грикспор | Кубок Дэвиса | США - Нидерланды,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239099,"Кубок Дэвиса 2021 | Хорватия — Австралия, групповой этап, 25.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239424,"Каспер Рууд - Михаил Кукушкин (Норвегия - Казахстан) | Кубок Дэвиса, квалификация | Обзор матча",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239693,Кубок Дэвиса в Okko | Превью плей-офф,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239622,Феликс Оже-Альяссим/Вашек Поспишил - Нам Джи Сун/Сон Мин Кю | Кубок Дэвиса | Канада - Южная Корея,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239631,Адриан Маннарино - Оскар Отте | Кубок Дэвиса | Франция - Германия,This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239125,"Кубок Дэвиса 2021 | Канада — Казахстан, групповой этап, 28.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239427,"Диего Шварцман - Томаш Махач (Аргентина - Чехия) | Кубок Дэвиса, квалификация | Обзор матча",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
be,Кубак Дэвіса,https://vk.com/video-202752058_456239129,"Кубок Дэвиса 2021 | Германия — Австрия, групповой этап, 28.11.21",This video is unavailable in your country,This video is unavailable in your country Back,"","",https://vk.com/okkotennis,"",,
